Source           Destination              Packets               Bytes
 156.36.239.64    170.132.154.180                342              112779
 170.132.154.180  156.36.239.64                  248               49248
 156.36.206.51    156.55.84.167                 3697              233830
 156.55.84.167    156.36.206.51                 6601             5796710
 170.135.199.195  147.249.46.72               595023            55451113
 147.249.46.72    170.135.199.195             687977           452143682
 156.36.230.153   170.132.25.222                 706               98658
 170.132.25.222   156.36.230.153                 673              105254
 170.132.26.43    170.135.199.195              28203            32982211
 170.135.199.195  170.132.26.43                20391             1957078
 170.132.24.95    170.135.199.195                824              825950
 170.135.199.195  170.132.24.95                  902              189657
 156.36.206.240   168.162.95.146                6086             1182022
 168.162.95.146   156.36.206.240                8612             8780248
 170.132.24.94    170.135.199.195             166741           179245472
 170.135.199.195  170.132.24.94               147962            19119600
 156.36.198.250   170.132.235.15                 503               88294
 170.132.235.15   156.36.198.250                 692               31596
 168.162.95.154   156.36.208.233                8477             8913485
 156.36.208.233   168.162.95.154                8478              540295
 168.162.95.154   156.36.206.236                4099             3815989
 156.36.206.236   168.162.95.154                4533              871182
 170.135.199.195  170.132.24.74                40277             3086313
 170.132.24.74    170.135.199.195              52133             6063687
 156.36.239.51    170.132.26.48                  298              116510
 170.132.26.48    156.36.239.51                  227               40663
 156.36.239.63    170.132.154.180                517              369905
 170.132.154.180  156.36.239.63                  294               88876
 156.36.239.57    170.132.26.48                  994              981537
 170.132.26.48    156.36.239.57                  597              105294
 147.249.130.173  170.135.199.195                393              129932
 170.135.199.195  147.249.130.173                571               55078
 156.55.84.167    170.135.199.195              21775             9018248
 170.135.199.195  156.55.84.167                22256             2351055
 156.36.204.245   147.249.148.13                 723              469265
 147.249.148.13   156.36.204.245                 442              161569
 170.132.113.5    170.135.199.195               5118             3560236
 170.135.199.195  170.132.113.5                 5021              227306
 170.132.24.97    170.135.199.195               8097             4906423
 170.135.199.195  170.132.24.97                 8530             1567238
 170.132.24.96    170.135.199.195              23854            15696425
 170.135.199.195  170.132.24.96                23110             5018554
 170.132.66.101   156.36.198.250                  98               88127
 156.36.198.250   170.132.66.101                  80               32321
 156.36.217.170   147.249.46.2                  3587              396791
 147.249.46.2     156.36.217.170                5038             2762272
 168.162.95.146   156.36.200.39                  284              135272
 156.36.200.39    168.162.95.146                 259               96201
 168.162.95.146   156.36.200.38                  106               52624
 156.36.200.38    168.162.95.146                  87               19776
 170.135.2.11     172.16.3.10                   2017              160596
 168.162.95.146   156.36.200.32                  424              262391
 156.36.200.32    168.162.95.146                 298               86615
 170.132.50.161   170.135.2.11                  3090             3775292
 156.36.168.23    156.55.84.98                    22                1217
 156.55.84.98     156.36.168.23                   22                1399
 170.132.25.132   170.135.199.195               9106             6460622
 170.135.199.195  170.132.25.132                9404             7369658
 156.36.205.20    168.162.95.146                  92               11486
 168.162.95.146   156.36.205.20                   63               12182
 168.162.95.146   156.36.200.31                   94               43210
 156.36.200.31    168.162.95.146                  79               25412
 156.36.238.224   170.132.26.48                   15                7053
 170.132.26.48    156.36.238.224                  12                2672
 170.132.25.169   170.135.199.195             248353            26809095
 170.135.199.195  170.132.25.169              177505            52182169
 170.135.202.26   147.249.46.2                  2906              326852
 147.249.46.2     170.135.202.26                4342             2326292
 156.55.51.76     156.36.204.28                   59               16165
 156.36.204.28    156.55.51.76                    65               10857
 156.36.204.28    156.55.51.79                   135                8125
 156.55.51.79     156.36.204.28                  136                9318
 170.135.202.153  156.55.84.75                  1498              133464
 156.55.84.75     170.135.202.153               2869              229637
 170.132.238.37   170.135.199.195              37894            44084191
 170.135.199.195  170.132.238.37               32225             2782070
 170.135.199.195  170.132.25.211                 487               39256
 170.132.25.211   170.135.199.195                487               39673
 156.36.200.98    170.132.235.15                 264               48106
 170.132.235.15   156.36.200.98                  385               17833
 147.249.148.13   170.135.199.195              56090            71264859
 170.135.199.195  147.249.148.13               54742             3269490
 170.135.199.195  168.162.95.156               54858             3243044
 168.162.95.156   170.135.199.195             122429           144542294
 170.135.199.195  168.162.95.154              178158            43008622
 168.162.95.154   170.135.199.195             161989           149887808
 156.55.84.49     170.135.199.195                207               59225
 170.135.199.195  156.55.84.49                   216               23241
 170.135.199.195  168.162.95.148               59856             7050342
 168.162.95.148   170.135.199.195             219306           260191488
 156.36.48.98     170.132.154.180                 17                9125
 170.132.154.180  156.36.48.98                    13                2062
 168.162.95.146   170.135.199.195             485594           445175260
 170.135.199.195  168.162.95.146              487394           100018047
 170.135.202.79   156.55.84.167                    8                 428
 156.55.84.167    170.135.202.79                   9                4660
 170.135.202.76   156.55.84.167                  600               31356
 156.55.84.167    170.135.202.76                 747              651977
 170.135.202.73   156.55.84.167                  241               12832
 156.55.84.167    170.135.202.73                 241               17238
 147.249.60.137   170.135.199.195               2095             1925011
 170.135.199.195  147.249.60.137                2682              524666
 170.135.199.195  156.55.51.75                   439               20854
 156.55.51.75     170.135.199.195                371               90685

Accounting data age is 01:00
Source           Destination              Packets               Bytes
 170.132.25.26    170.135.199.195                 27                7442
 170.135.199.195  170.132.25.26                   28                5730
 170.132.25.25    170.135.199.195             412688            54825995
 170.135.199.195  170.132.25.25               286984            79225786
 168.162.189.38   156.36.198.250                 382               62250
 156.36.198.250   168.162.189.38                 541              512711
 156.36.239.64    170.132.154.180               1216              346793
 170.132.154.180  156.36.239.64                  894              195687
 156.36.206.51    156.55.84.167                 9429              538238
 156.55.84.167    156.36.206.51                15619            17199572
 147.249.46.72    170.135.199.195             857297           572861041
 170.135.199.195  147.249.46.72               708755            70362065
 170.132.25.222   156.36.230.153                 682              112506
 156.36.230.153   170.132.25.222                 700               97149
 170.135.199.195  170.132.26.43                 8375             1754183
 170.132.26.43    170.135.199.195              12229            13383822
 170.132.24.95    170.135.199.195              30745            35486249
 170.135.199.195  170.132.24.95                24903             2260464
 168.162.95.146   156.36.206.240                8746             8999690
 156.36.206.240   168.162.95.146                6147             1134328
 170.132.24.94    170.135.199.195             138265           139773467
 170.135.199.195  170.132.24.94               124858            17138591
 168.162.95.146   156.36.208.231               20746            24389936
 156.36.208.231   168.162.95.146               11830              668808
 168.162.95.154   156.36.206.240               50644            54490825
 156.36.206.240   168.162.95.154               30542             2654736
 170.135.199.195  170.132.26.84                  463               24076
 170.132.235.15   156.36.198.250                1039               47190
 156.36.198.250   170.132.235.15                 904              134219
 168.162.95.154   156.36.208.233                8475             8914066
 156.36.208.233   168.162.95.154                8482              540548
 156.36.206.236   168.162.95.154                4281              822350
 168.162.95.154   156.36.206.236                3881             3583099
 170.132.24.74    170.135.199.195              20571             1613707
 170.135.199.195  170.132.24.74                15611             1227228
 156.36.239.51    170.132.26.48                  457              150679
 170.132.26.48    156.36.239.51                  341               66797
 156.36.239.63    170.132.154.180               2589             2246867
 170.132.154.180  156.36.239.63                 1193              314724
 170.132.26.48    156.36.239.57                  662              149299
 156.36.239.57    170.132.26.48                 1044              864563
 147.249.130.173  170.135.199.195                255               10212
 170.135.199.195  147.249.130.173                481               50088
 170.132.25.110   170.135.199.195                117               98075
 170.135.199.195  170.132.25.110                 133               11328
 170.135.199.195  156.55.84.167                34682             4575082
 156.55.84.167    170.135.199.195              32188            14582980
 147.249.148.13   156.36.204.245                 672              230289
 156.36.204.245   147.249.148.13                1085              674715
 156.55.84.167    170.135.2.11                    17                3020
 170.135.2.11     156.55.84.167                   15                5032
 170.132.24.97    170.135.199.195                893              605655
 170.135.199.195  170.132.24.97                  869              217029
 170.132.24.96    170.135.199.195              23441            15240527
 170.135.199.195  170.132.24.96                22837             4951066
 156.36.217.170   147.249.46.2                  4219              461158
 147.249.46.2     156.36.217.170                5689             3154714
 168.162.95.146   156.36.200.39                  780              147192
 156.36.200.39    168.162.95.146                1248             1443751
 170.135.2.11     172.16.3.10                    425               73580
 168.162.95.146   156.36.200.38                  343              169725
 156.36.200.38    168.162.95.146                 291               70003
 168.162.95.146   156.36.200.32                  202               95796
 156.36.200.32    168.162.95.146                 180               56478
 170.132.50.161   170.135.2.11                   362              258790
 170.135.199.195  170.132.25.132                9359             7333350
 170.132.25.132   170.135.199.195               9059             6367751
 63.141.190.185   170.135.199.195                 24                1440
 156.55.84.100    156.36.168.23                  107               34704
 156.36.168.23    156.55.84.100                  118               20488
 156.36.205.20    168.162.95.146                  51                6003
 168.162.95.146   156.36.205.20                   42               17453
 168.162.95.146   156.36.200.31                  253              120052
 156.36.200.31    168.162.95.146                 237               74996
 170.132.25.169   170.135.199.195             246339            26615415
 170.135.199.195  170.132.25.169              176037            51744804
 170.135.202.26   147.249.46.2                  2940              330151
 147.249.46.2     170.135.202.26                4389             2358489
 156.55.51.76     156.36.204.28                  126               32932
 156.36.204.28    156.55.51.76                   141               23893
 156.36.204.28    156.55.51.79                   140                8640
 156.55.51.79     156.36.204.28                  140               11820
 156.36.204.245   147.249.46.2                   109               68308
 147.249.46.2     156.36.204.245                  78               28608
 170.135.202.153  156.55.84.75                  1520              135446
 156.55.84.75     170.135.202.153               2919              242544
 170.132.238.37   170.135.199.195             103850           117929373
 170.135.199.195  170.132.238.37               80054             9765730
 170.135.199.195  170.132.25.211                 481               38692
 170.132.25.211   170.135.199.195                480               39203
 170.132.235.15   156.36.200.98                  365               17689
 156.36.200.98    170.132.235.15                 258               56743
 147.249.148.13   170.135.199.195              77509            97281775
 170.135.199.195  147.249.148.13               66372             5371734
 156.36.200.98    170.132.235.10                 394               66512
 170.132.235.10   156.36.200.98                  475               41956
 170.135.199.195  168.162.95.156              118123             7887159
 168.162.95.156   170.135.199.195             220077           252904607
 168.162.95.154   170.135.199.195             304911           283944479
 170.135.199.195  168.162.95.154              341188            82070845
 170.135.199.195  156.55.84.49                    54                5008
 156.55.84.49     170.135.199.195                 54               10940
 170.135.199.195  168.162.95.148               49165             5614837
 168.162.95.148   170.135.199.195             151641           179491826
 156.36.48.98     170.132.154.180              13287              711973
 170.132.154.180  156.36.48.98                 25274            32423468
 170.135.199.195  168.162.95.146              482760           108903012
 168.162.95.146   170.135.199.195             458208           394036063
 170.135.2.11     156.55.51.78                    78               10888
 156.55.51.78     170.135.2.11                    74               65318
 170.135.202.76   156.55.84.167                    7                 376
 156.55.84.167    170.135.202.76                   8                3224
 170.135.199.195  147.249.60.137                1670              316901
 147.249.60.137   170.135.199.195               1373             1194036
 170.135.202.73   156.55.84.167                  914               49328
 156.55.84.167    170.135.202.73                 913               64738
 170.135.199.195  156.55.51.75                   264               10736
 156.55.51.75     170.135.199.195                254               20117

Accounting data age is 01:00
Source           Destination              Packets               Bytes
 170.132.25.26    170.135.199.195               4057             4453616
 170.135.199.195  170.132.25.26                 3978              529639
 170.132.25.25    170.135.199.195             414619            67977040
 170.135.199.195  170.132.25.25               268626            74116113
 168.162.189.38   156.36.198.250                 403               53696
 156.36.198.250   168.162.189.38                 590              597289
 156.36.239.64    170.132.154.180                965              291621
 170.132.154.180  156.36.239.64                  710              149123
 156.36.206.51    156.55.84.167                 5716              334860
 156.55.84.167    156.36.206.51                10055            10427095
 170.135.199.195  147.249.46.72               858787            86115816
 147.249.46.72    170.135.199.195            1047934           702758000
 170.132.25.222   156.36.230.153                 860              168746
 156.36.230.153   170.132.25.222                 918              152224
 170.132.26.43    170.135.199.195              15375            17477796
 170.135.199.195  170.132.26.43                15158             1904101
 170.132.24.95    170.135.199.195               4793             5163462
 170.135.199.195  170.132.24.95                 4693              636158
 168.162.95.154   156.36.208.231                8534             8945592
 156.36.208.231   168.162.95.154                8514              542504
 168.162.95.146   156.36.206.240                8945             9222050
 156.36.206.240   168.162.95.146                6256             1139796
 170.132.24.94    170.135.199.195              90208            75918810
 170.135.199.195  170.132.24.94                88447            16181059
 168.162.95.146   156.36.208.231               80751            95746455
 156.36.208.231   168.162.95.146               45377             2531067
 170.135.199.195  170.132.26.84                  284               14768
 168.162.95.154   156.36.206.240              121781           113359826
 156.36.206.240   168.162.95.154               82944            10853400
 156.36.198.250   170.132.235.15                 655              100857
 170.132.235.15   156.36.198.250                 783               35073
 168.162.95.154   156.36.206.236                4221             4062098
 156.36.206.236   168.162.95.154                4647              816156
 170.135.199.195  170.132.24.74                15911             1251238
 170.132.24.74    170.135.199.195              20880             1676069
 156.36.239.51    170.132.26.48                  316              102099
 170.132.26.48    156.36.239.51                  236               47522
 156.36.239.63    170.132.154.180               1724             1243393
 170.132.154.180  156.36.239.63                  935              266455
 156.36.239.57    170.132.26.48                 1018              970826
 170.132.26.48    156.36.239.57                  612              113367
 147.249.130.173  170.135.199.195                360               14412
 170.135.199.195  147.249.130.173                485               50504
 170.132.25.110   170.135.199.195                 35               23496
 170.135.199.195  170.132.25.110                  37                3738
 170.135.199.195  156.55.84.167                34383             4293258
 156.55.84.167    170.135.199.195              33384            14957341
 156.36.204.245   147.249.148.13                 927              525528
 147.249.148.13   156.36.204.245                 595              200385
 170.132.113.5    170.135.199.195                 51               25747
 170.135.199.195  170.132.113.5                   56                4590
 156.55.84.167    170.135.2.11                    17                3016
 170.135.2.11     156.55.84.167                   15                4885
 170.132.24.97    170.135.199.195               1183              837511
 170.135.199.195  170.132.24.97                 1110              198855
 170.132.24.96    170.135.199.195              21892            14159107
 170.135.199.195  170.132.24.96                21366             4546760
 156.36.217.170   147.249.46.2                  4351              474808
 147.249.46.2     156.36.217.170                5827             3262764
 168.162.95.146   156.36.200.39                  158               35422
 156.36.200.39    168.162.95.146                 199              204024
 168.162.95.146   156.36.200.38                  361              179664
 156.36.200.38    168.162.95.146                 300               82853
 170.135.2.11     172.16.3.10                    427               73948
 156.36.200.32    168.162.95.146                 209               61933
 168.162.95.146   156.36.200.32                  229              107749
 170.132.50.161   170.135.2.11                   358              252859
 170.132.25.132   170.135.199.195               9080             6381818
 170.135.199.195  170.132.25.132                9340             7339023
 156.36.205.20    168.162.95.146                 160               18517
 168.162.95.146   156.36.205.20                  138               71591
 168.162.95.146   156.36.200.31                   74               35630
 156.36.200.31    168.162.95.146                  64               17309
 156.36.238.224   170.132.26.48                 1803              100440
 170.132.26.48    156.36.238.224                3342             4281656
 170.135.199.195  170.132.154.41                 164                8528
 170.132.25.169   170.135.199.195             242501            26199940
 170.135.199.195  170.132.25.169              173254            50921963
 170.135.202.26   147.249.46.2                  2940              330272
 147.249.46.2     170.135.202.26                4386             2353920
 156.36.204.28    156.55.51.76                   134               37359
 156.55.51.76     156.36.204.28                  115               32089
 156.36.204.28    156.55.51.79                   163                9751
 156.55.51.79     156.36.204.28                  163               26804
 156.36.204.245   147.249.46.2                    85               51465
 147.249.46.2     156.36.204.245                  60               21488
 170.135.202.153  156.55.84.75                  1561              136676
 156.55.84.75     170.135.202.153               2987              361269
 170.132.238.37   170.135.199.195              84237            91221797
 170.135.199.195  170.132.238.37               68327            10412878
 170.135.199.195  170.132.25.211                 488               39527
 170.132.25.211   170.135.199.195                473               39149
 168.162.176.67   170.135.199.195              12346            15264148
 170.135.199.195  168.162.176.67                6270              295719
 156.36.200.98    170.132.235.15                 162               32064
 170.132.235.15   156.36.200.98                  237               10949
 170.135.199.195  147.249.148.13              166272             9550257
 147.249.148.13   170.135.199.195             210270           269266827
 170.135.199.195  168.162.95.156              294984            34056343
 168.162.95.156   170.135.199.195             460538           458610998
 170.135.199.195  168.162.95.154              347234            80563124
 168.162.95.154   170.135.199.195             307351           290239688
 156.55.84.49     170.135.199.195                 51               19936
 170.135.199.195  156.55.84.49                    53                7812
 168.162.95.148   170.135.199.195             295550           349961194
 170.135.199.195  168.162.95.148              126072             9949578
 156.36.48.98     170.132.154.180               6894              395754
 170.132.154.180  156.36.48.98                 12973            16609202
 168.162.95.146   170.135.199.195             470699           419801489
 170.135.199.195  168.162.95.146              479242           121709290
 170.135.2.11     156.55.51.78                    83               11148
 156.55.51.78     170.135.2.11                    76               65666
 170.135.199.195  147.249.60.137                 635              109933
 147.249.60.137   170.135.199.195                543              493487
 170.135.202.73   156.55.84.167                  223               12100
 156.55.84.167    170.135.202.73                 230               16041
 170.135.199.195  156.55.51.75                   263               10718
 156.55.51.75     170.135.199.195                254               21061

Accounting data age is 01:00
Source           Destination              Packets               Bytes
 170.132.25.26    170.135.199.195               6641             6779997
 170.135.199.195  170.132.25.26                 6349             1089483
 170.135.199.195  170.132.25.25               271279            80088830
 170.132.25.25    170.135.199.195             412709            50228132
 168.162.176.152  170.135.199.195               6838             4258461
 170.135.199.195  168.162.176.152               5829              447110
 168.162.189.38   156.36.198.250                 382               62250
 156.36.198.250   168.162.189.38                 541              510636
 156.36.239.64    170.132.154.180               1060              303699
 170.132.154.180  156.36.239.64                  780              170040
 156.36.206.51    156.55.84.167                 4302              262934
 156.55.84.167    156.36.206.51                 7718             7386160
 170.135.199.195  147.249.46.72               901763            93721214
 147.249.46.72    170.135.199.195            1133748           769273527
 170.132.25.222   156.36.230.153                 740              127383
 156.36.230.153   170.132.25.222                 755              112366
 170.135.199.195  170.132.26.43                44483             3598005
 170.132.26.43    170.135.199.195              57605            68992847
 170.132.24.95    170.135.199.195               7523             7302421
 170.135.199.195  170.132.24.95                 7738             1318634
 168.162.95.146   156.36.206.240                9077             9387781
 156.36.206.240   168.162.95.146                6340             1143018
 170.132.24.94    170.135.199.195              82225            67713014
 170.135.199.195  170.132.24.94                81000            17059984
 170.135.199.195  170.132.26.84                   30                1560
 170.132.235.15   156.36.198.250                 678               31834
 156.36.198.250   170.132.235.15                 505               91671
 168.162.95.154   156.36.208.233                8492             8921275
 156.36.208.233   168.162.95.154                8487              540859
 168.162.95.154   156.36.206.236                3564             3381913
 156.36.206.236   168.162.95.154                3920              686575
 170.135.199.195  170.132.24.74                18772             1485726
 170.132.24.74    170.135.199.195              23886             1449413
 170.132.26.48    156.36.239.51                  338               63496
 156.36.239.51    170.132.26.48                  454              156249
 156.36.239.63    170.132.154.180               2473             2166327
 170.132.154.180  156.36.239.63                 1153              287723
 170.132.26.48    156.36.239.57                  613              133703
 156.36.239.57    170.132.26.48                  962              868377
 147.249.130.173  170.135.199.195               3522             3367620
 170.135.199.195  147.249.130.173               2409              164431
 156.55.84.167    170.135.199.195              28998            11492719
 170.135.199.195  156.55.84.167                29456             3515320
 156.36.204.245   147.249.148.13                1141              676975
 147.249.148.13   156.36.204.245                 711              235405
 170.132.113.5    170.135.199.195               5596             3554429
 170.135.199.195  170.132.113.5                 5370              258911
 170.132.24.97    170.135.199.195               2891              371129
 170.135.199.195  170.132.24.97                 2900              205140
 170.132.24.96    170.135.199.195              21496            13973167
 170.135.199.195  170.132.24.96                20875             4410809
 156.36.217.170   147.249.46.2                  4417              481585
 147.249.46.2     156.36.217.170                5902             3294449
 168.162.95.146   156.36.200.39                  358               63879
 156.36.200.39    168.162.95.146                 510              587728
 170.135.2.10     156.55.84.75                    88                8780
 156.55.84.75     170.135.2.10                    97              107002
 168.162.95.146   156.36.200.38                  279              136680
 156.36.200.38    168.162.95.146                 231               57732
 170.135.2.11     172.16.3.10                    515               90604
 168.162.95.146   156.36.200.32                  377              184836
 156.36.200.32    168.162.95.146                 321               74888
 170.132.50.161   170.135.2.11                   441              314136
 170.132.25.132   170.135.199.195              10228             7494692
 170.135.199.195  170.132.25.132               10064             7806899
 156.36.205.20    168.162.95.146                  47                5795
 168.162.95.146   156.36.205.20                   36                9813
 168.162.95.146   156.36.200.31                  553              271660
 156.36.200.31    168.162.95.146                 479              116343
 156.36.238.224   170.132.26.48                 1834              110586
 170.132.26.48    156.36.238.224                3382             4324110
 170.135.199.195  170.132.25.169              176426            51838230
 170.132.25.169   170.135.199.195             246996            26952127
 170.135.202.26   147.249.46.2                  2882              324033
 147.249.46.2     170.135.202.26                4325             2326164
 156.36.204.28    156.55.51.76                    98               31228
 156.55.51.76     156.36.204.28                   72                4663
 156.36.204.28    156.55.51.79                   225               14505
 156.55.51.79     156.36.204.28                  229               61798
 156.36.204.245   147.249.46.2                   168              103250
 147.249.46.2     156.36.204.245                 124               43332
 170.135.202.153  156.55.84.75                  1542              136472
 156.55.84.75     170.135.202.153               2951              282659
 170.132.238.37   170.135.199.195             162808           187469187
 170.135.199.195  170.132.238.37              120673            12577956
 170.135.199.195  170.132.25.211                 480               38826
 170.132.25.211   170.135.199.195                438               37879
 168.162.176.67   170.135.199.195                105                4326
 170.135.199.195  168.162.176.67                 109                4553
 156.36.200.98    170.132.235.15                 364              106002
 170.132.235.15   156.36.200.98                  496               23692
 147.249.148.13   170.135.199.195             151349           191569206
 170.135.199.195  147.249.148.13              136965             9183538
 170.132.235.10   156.36.200.98                   13                 676
 168.162.95.156   170.135.199.195              91856           108590698
 170.135.199.195  168.162.95.156               40568             2634949
 170.135.199.195  168.162.95.154              321512            76525630
 168.162.95.154   170.135.199.195             281216           263925997
 170.132.113.145  170.135.199.195                  4                 426
 170.135.199.195  170.132.113.145                  6                 670
 170.135.199.195  156.55.84.49                   476               45365
 156.55.84.49     170.135.199.195                469              202812
 168.162.95.148   170.135.199.195             126847           151023877
 170.135.199.195  168.162.95.148               38029             5385773
 170.132.154.180  156.36.48.98                 13896            17772577
 156.36.48.98     170.132.154.180               7370              429714
 168.162.95.146   170.135.199.195             527327           524053203
 170.135.199.195  168.162.95.146              468414            98045930
 170.135.202.79   156.55.84.167                    9                 480
 156.55.84.167    170.135.202.79                  12                9145
 147.249.60.137   170.135.199.195               2237             2024370
 170.135.199.195  147.249.60.137                2728              543636
 170.135.202.73   156.55.84.167                  303               16212
 156.55.84.167    170.135.202.73                 304               21743
 170.135.199.195  156.55.51.75                   263               10710
 156.55.51.75     170.135.199.195                252               17757

Accounting data age is 01:00
Source           Destination              Packets               Bytes
 170.132.25.26    170.135.199.195                448              383983
 170.135.199.195  170.132.25.26                  513               75690
 170.132.25.25    170.135.199.195             422618            63968288
 170.135.199.195  170.132.25.25               275079            84249740
 170.135.199.195  168.162.176.152               3352              275689
 168.162.176.152  170.135.199.195               4716              261105
 168.162.189.38   156.36.198.250                 228               37302
 156.36.198.250   168.162.189.38                 323              307963
 156.36.239.64    170.132.154.180               1222              345912
 170.132.154.180  156.36.239.64                  904              198193
 156.36.206.51    156.55.84.167                 6114              361304
 156.55.84.167    156.36.206.51                10274            10392445
 147.249.46.72    170.135.199.195             939353           621621987
 170.135.199.195  147.249.46.72               768203            79561903
 156.36.230.153   170.132.25.222                 828              130282
 170.132.25.222   156.36.230.153                 769              144877
 170.132.26.43    170.135.199.195              45566            52269972
 170.135.199.195  170.132.26.43                37031             4138742
 170.132.24.95    170.135.199.195                877              598752
 170.135.199.195  170.132.24.95                  958              222368
 168.162.95.154   156.36.208.231                4254             4463989
 156.36.208.231   168.162.95.154                4248              270716
 168.162.95.146   156.36.206.240                9214             9554748
 156.36.206.240   168.162.95.146                6410             1146406
 170.132.24.94    170.135.199.195              65723            60476242
 170.135.199.195  170.132.24.94                60789            10941300
 168.162.95.146   156.36.208.231               40221            47247848
 156.36.208.231   168.162.95.146               22497             1264147
 170.135.199.195  170.132.26.84                   15                 780
 168.162.95.154   156.36.208.233                5307             5557594
 156.36.208.233   168.162.95.154                5301              341703
 156.36.198.250   170.132.235.15                 778               97278
 170.132.235.15   156.36.198.250                 888               39896
 156.36.206.236   168.162.95.154                4150              754483
 168.162.95.154   156.36.206.236                3781             3536898
 170.132.24.74    170.135.199.195              25363             5918528
 170.135.199.195  170.132.24.74                19763             1563305
 156.36.239.51    170.132.26.48                  563              188225
 170.132.26.48    156.36.239.51                  419               81292
 170.132.154.180  156.36.239.63                 1259              341988
 156.36.239.63    170.132.154.180               2451             1916845
 156.36.239.57    170.132.26.48                 2067             2110720
 170.132.26.48    156.36.239.57                 1193              194562
 147.249.130.173  170.135.199.195               4932             2716784
 170.135.199.195  147.249.130.173               4224              625228
 170.135.199.195  156.55.84.167                27408             2774840
 156.55.84.167    170.135.199.195              26498             9107487
 156.36.204.245   147.249.148.13                 622              366215
 147.249.148.13   156.36.204.245                 403              140638
 170.132.113.5    170.135.199.195                106               45150
 170.135.199.195  170.132.113.5                   96               12059
 156.36.205.20    168.162.204.210                 77                7191
 168.162.204.210  156.36.205.20                   95               88177
 170.132.24.97    170.135.199.195               5981             1845650
 170.135.199.195  170.132.24.97                 6067              673523
 170.132.24.96    170.135.199.195              21231            13685740
 170.135.199.195  170.132.24.96                20691             4240652
 156.36.217.170   147.249.46.2                  4297              471468
 147.249.46.2     156.36.217.170                5771             3224094
 156.36.169.75    170.132.25.226                 507              277897
 170.132.25.226   156.36.169.75                  386              162977
 168.162.95.146   156.36.200.39                  189               35258
 156.36.200.39    168.162.95.146                 244              272506
 170.135.2.11     172.16.3.10                    413               66092
 168.162.95.146   156.36.200.38                  202               99394
 156.36.200.38    168.162.95.146                 172               41263
 168.162.95.146   156.36.200.32                  190               93894
 156.36.200.32    168.162.95.146                 169               51592
 170.132.50.161   170.135.2.11                   360              291837
 170.132.25.132   170.135.199.195              12995            10798879
 170.135.199.195  170.132.25.132               11586             8256178
 156.36.205.20    168.162.95.146                 124               13278
 168.162.95.146   156.36.205.20                  123               85990
 156.36.200.31    168.162.95.146                 336               77931
 168.162.95.146   156.36.200.31                  384              189849
 156.36.238.224   170.132.26.48                 4709              232397
 170.132.26.48    156.36.238.224                8890            11445848
 170.132.25.169   170.135.199.195             251320            29251527
 170.135.199.195  170.132.25.169              179493            52483412
 170.135.202.26   147.249.46.2                  2971              333306
 147.249.46.2     170.135.202.26                4416             2375298
 156.36.204.28    156.55.51.79                   123                7319
 156.55.51.79     156.36.204.28                  123                7501
 156.36.204.245   147.249.46.2                   363              222967
 147.249.46.2     156.36.204.245                 269               93260
 170.135.202.153  156.55.84.75                  1532              136466
 156.55.84.75     170.135.202.153               2932              218675
 170.135.199.195  170.132.238.37               85713            13077274
 170.132.238.37   170.135.199.195             118405           128222820
 170.135.199.195  170.132.25.211                 480               39116
 170.132.25.211   170.135.199.195                471               39254
 156.36.200.98    170.132.235.15                 160               31925
 170.132.235.15   156.36.200.98                  251               11865
 147.249.148.13   170.135.199.195              66761            83541878
 170.135.199.195  147.249.148.13               54590             4104633
 170.135.199.195  168.162.95.156               38810             2474968
 168.162.95.156   170.135.199.195              82238            97039197
 168.162.95.154   170.135.199.195             291329           276317584
 170.135.199.195  168.162.95.154              326134            74591404
 170.135.199.195  156.55.84.49                   370               17835
 156.55.84.49     170.135.199.195                375               32449
 170.135.199.195  170.132.113.145                904               78952
 170.132.113.145  170.135.199.195                841              736854
 168.162.95.148   170.135.199.195             185202           217280722
 170.135.199.195  168.162.95.148               71636             8240227
 156.36.48.98     170.132.154.180              13465              686312
 170.132.154.180  156.36.48.98                 25638            32974500
 168.162.95.146   170.135.199.195             372388           321946180
 170.135.199.195  168.162.95.146              397618            98114351
 147.249.60.137   170.135.199.195               2290             2115907
 170.135.199.195  147.249.60.137                2667              546143
 170.135.202.73   156.55.84.167                  589               31636
 156.55.84.167    170.135.202.73                 589               42260
 170.135.199.195  156.55.51.75                   396               16414
 156.55.51.75     170.135.199.195                372               49480

Accounting data age is 01:00
Source           Destination              Packets               Bytes
 170.132.25.26    170.135.199.195               4965             5179260
 170.135.199.195  170.132.25.26                 4524              674467
 170.132.25.27    170.135.199.195               3157             3352581
 170.135.199.195  170.132.25.27                 2077              297483
 170.132.25.25    170.135.199.195             411075            50794257
 170.135.199.195  170.132.25.25               267747            82100055
 170.135.199.195  168.162.176.152               3603              289514
 168.162.176.152  170.135.199.195               4863              267671
 168.162.189.38   156.36.198.250                 201               26828
 156.36.198.250   168.162.189.38                 294              299988
 156.36.239.64    170.132.154.180                742              245852
 170.132.154.180  156.36.239.64                  540              105472
 156.36.206.51    156.55.84.167                 3667              229632
 156.55.84.167    156.36.206.51                 6784             6148158
 170.135.199.195  147.249.46.72               750025            78241094
 147.249.46.72    170.135.199.195             920701           607336220
 170.132.25.222   156.36.230.153                 859              174944
 156.36.230.153   170.132.25.222                 923              157403
 170.132.26.43    170.135.199.195               7952             8681491
