Source           Destination              Packets               Bytes
 170.132.113.6    170.135.199.195           10495719           859228746
 170.135.199.195  170.132.113.6              8271383          1799303950
 156.55.84.167    170.135.199.195            5783504          2061805254
 170.135.199.195  156.55.84.167              5896891           599492502
 156.36.204.246   147.249.148.14                5104             2941732
 147.249.148.14   156.36.204.246                3244              955895
 147.249.148.13   156.36.204.245              155292            52328409
 156.36.204.245   147.249.148.13              245935           149413519
 156.36.239.63    170.132.26.47                   10                1752
 170.132.26.47    156.36.239.63                   10                 426
 170.132.113.5    170.135.199.195           45124977           249833033
 170.135.199.195  170.132.113.5             37325697          4077502564
 156.36.205.20    168.162.204.210               1034              115090
 168.162.204.210  156.36.205.20                  907              444438
 156.36.214.221   168.162.95.154               57882             3705752
 168.162.95.154   156.36.214.221               40552            25099722
 156.55.84.167    170.135.2.11                 37483             2105664
 170.135.2.11     156.55.84.167                72596            87943650
 10.0.208.96      156.36.230.153                2952              165312
 170.132.24.97    170.135.199.195            1961567           848081004
 170.135.199.195  170.132.24.97              1946791           282022842
 170.132.24.96    170.135.199.195            1109309           597197169
 170.135.199.195  170.132.24.96              1096641           189159684
 208.238.11.157   170.135.199.195                 79                6313
 170.135.199.195  208.238.11.157                 108                8773
 156.55.51.78     170.135.202.179               7110              426600
 100.120.138.211  156.36.230.153                   4                 224
 168.162.189.39   156.36.200.98                  240               76187
 156.36.200.98    168.162.189.39                 288              200750
 156.36.239.57    170.132.154.94               67294            57957738
 170.132.154.94   156.36.239.57                42121             9293530
 100.120.138.212  156.36.230.153                   1                  56
 170.135.2.10     208.238.11.150                 319               46612
 208.238.11.150   170.135.2.10                   364              324467
 170.135.2.11     208.238.11.150                7388             1033879
 208.238.11.150   170.135.2.11                  9346            10364051
 156.36.169.76    170.132.25.227                 244              155690
 170.132.25.227   156.36.169.76                  222               51790
 170.132.66.101   156.36.198.250               18393            19836354
 156.36.198.250   170.132.66.101               12624             3961314
 156.36.217.170   147.249.46.2              31177216          3601338637
